fecha,tipo_cambio,moneda
15.01.2026,"55,711",Yen Japones
14.01.2026,"55,633",Yen Japones
13.01.2026,"55,714",Yen Japones
12.01.2026,"55,884",Yen Japones
09.01.2026,"56,581",Yen Japones
08.01.2026,"57,238",Yen Japones
07.01.2026,"57,178",Yen Japones
06.01.2026,"57,104",Yen Japones
05.01.2026,"57,768",Yen Japones
02.01.2026,"57,774",Yen Japones
01.01.2026,"57,448",Yen Japones
31.12.2025,"57,489",Yen Japones
30.12.2025,"57,565",Yen Japones
29.12.2025,"58,632",Yen Japones
26.12.2025,"57,861",Yen Japones
25.12.2025,"58,045",Yen Japones
24.12.2025,"57,997",Yen Japones
23.12.2025,"58,130",Yen Japones
22.12.2025,"57,905",Yen Japones
19.12.2025,"57,681",Yen Japones
18.12.2025,"58,586",Yen Japones
17.12.2025,"58,927",Yen Japones
16.12.2025,"59,010",Yen Japones
15.12.2025,"58,992",Yen Japones
15.01.2026,"1,025.24",Euro
14.01.2026,"1,026.38",Euro
13.01.2026,"1,032.35",Euro
12.01.2026,"1,031.21",Euro
09.01.2026,"1,039.65",Euro
08.01.2026,"1,046.92",Euro
07.01.2026,"1,046.43",Euro
06.01.2026,"1,045.50",Euro
05.01.2026,"1,059.00",Euro
02.01.2026,"1,061.95",Euro
01.01.2026,"1,057.10",Euro
31.12.2025,"1,057.86",Euro
30.12.2025,"1,057.76",Euro
29.12.2025,"1,077.19",Euro
26.12.2025,"1,066.47",Euro
25.12.2025,"1,065.18",Euro
24.12.2025,"1,065.23",Euro
23.12.2025,"1,071.09",Euro
22.12.2025,"1,069.59",Euro
19.12.2025,"1,065.57",Euro
18.12.2025,"1,068.26",Euro
17.12.2025,"1,077.06",Euro
16.12.2025,"1,072.46",Euro
15.12.2025,"1,076.21",Euro
12.12.2025,"1,068.68",Euro
11.12.2025,"1,073.06",Euro
10.12.2025,"1,080.59",Euro
09.12.2025,"1,076.44",Euro
08.12.2025,"1,075.01",Euro
05.12.2025,"1,077.51",Euro
04.12.2025,"1,067.99",Euro
03.12.2025,"1,073.20",Euro
02.12.2025,"1,073.22",Euro
01.12.2025,"1,078.30",Euro
28.11.2025,"1,076.27",Euro
27.11.2025,"1,077.53",Euro
26.11.2025,"1,074.78",Euro
25.11.2025,"1,082.75",Euro
24.11.2025,"1,083.00",Euro
21.11.2025,"1,081.18",Euro
20.11.2025,"1,069.67",Euro
19.11.2025,"1,076.39",Euro
18.11.2025,"1,080.00",Euro
17.11.2025,"1,071.33",Euro
14.11.2025,"1,075.53",Euro
13.11.2025,"1,081.58",Euro
12.11.2025,"1,078.25",Euro
11.11.2025,"1,082.64",Euro
10.11.2025,"1,085.12",Euro
07.11.2025,"1,093.84",Euro
06.11.2025,"1,088.72",Euro
05.11.2025,"1,084.14",Euro
04.11.2025,"1,087.45",Euro
03.11.2025,"1,081.35",Euro
31.10.2025,"1,087.28",Euro
30.10.2025,"1,090.39",Euro
29.10.2025,"1,092.90",Euro
28.10.2025,"1,099.67",Euro
27.10.2025,"1,096.13",Euro
24.10.2025,"1,094.97",Euro
23.10.2025,"1,097.35",Euro
22.10.2025,"1,103.60",Euro
21.10.2025,"1,106.34",Euro
20.10.2025,"1,107.02",Euro
17.10.2025,"1,113.90",Euro
16.10.2025,"1,117.36",Euro
15.10.2025,"1,117.24",Euro
14.10.2025,"1,115.72",Euro
13.10.2025,"1,108.68",Euro
10.10.2025,"1,114.47",Euro
09.10.2025,"1,098.60",Euro
08.10.2025,"1,105.73",Euro
07.10.2025,"1,119.92",Euro
06.10.2025,"1,125.87",Euro
03.10.2025,"1,133.68",Euro
02.10.2025,"1,126.90",Euro
01.10.2025,"1,125.26",Euro
30.09.2025,"1,128.73",Euro
29.09.2025,"1,132.19",Euro
26.09.2025,"1,123.40",Euro
25.09.2025,"1,118.73",Euro
24.09.2025,"1,118.46",Euro
23.09.2025,"1,120.94",Euro
22.09.2025,"1,128.89",Euro
19.09.2025,"1,122.29",Euro
18.09.2025,"1,128.01",Euro
17.09.2025,"1,124.33",Euro
16.09.2025,"1,124.72",Euro
15.09.2025,"1,119.66",Euro
12.09.2025,"1,119.84",Euro
11.09.2025,"1,115.72",Euro
10.09.2025,"1,126.30",Euro
09.09.2025,"1,133.30",Euro
08.09.2025,"1,141.65",Euro
05.09.2025,"1,130.65",Euro
